Simulation Duration,Received Current Data,Received Voltage Data,METEOR,Received Humidty Data,Received Wind Speed Data,Received Global Irradiance Data,Up Time,ToCurrent,ToRad,ToHum,ToTemp,ToVoltage,ToWind,wimax,wlan,totalUpload,turbinEthernetDelay,TurbinUploadResponseTime,WCNV,WGEN,WMET,WNAC,WROT,WTOW,WTRF,WTRM,WYAW,WifiYerelUploadTime,wirelessGESDelay,INVERTERAKIMwifiges,INVERTERVOLTAJwifiges,RADYANTISIMAwifiges,RUZGARHIZIwifiges,METEORwifiges,FtpUploadResponseTimesecwifiLoc,WirelessLANDelaysecwifiLoc,TurbinZigBeeApplicationTrafficReceived,TurbinZigBeeApplicationEndtoendDelayseconds,GESYerelZigbee1EndtoendDelayseconds,GESYerelZigBeeApplicationTrafficReceivedbitssec,Senaryo1WimaxDelay,Senaryo1WifiDelay,TrafficReceivedbytessecINVERTERAKIM,TrafficReceivedbytessecINVERTERVOLTAJ,TrafficReceivedbytessecMETEOR,TrafficReceivedbytessecRADYANTISIMA,TrafficReceivedbytessecRUZGARHIZI,TrafficReceivedbytessecWCNV,TrafficReceivedbytessecWGEN,TrafficReceivedbytessecWMET,TrafficReceivedbytessecWNAC,TrafficReceivedbytessecWROT,TrafficReceivedbytessecWTOW,TrafficReceivedbytessecWTRF,TrafficReceivedbytessecWTRM,TrafficReceivedbytessecWYAW,eksen0,eksen1,eksen2,eksen3,eksen4,eksen5,eksen6,eksen7,eksen8,eksen9,eksen10,eksen11,eksen12,eksen13,eksen14,sim1total,Senaryo1uploadResponseTime,Senaryo2UTPEthernet Delay,Senaryo2WimaxDelay,Senaryo2uploadResponseTime,TOTALReceivedAllScenario,fiberdelay,fiberresponse
120,14400,14400,10,2,6,200,0.152563498328,158400,2200,22,22,158400,66,0.044172439663,0.00152854983,0.397150751785,0.000522584487,0.014388652531,15004,14004,8000,11008,12010,2006,8006,12016,6004,0.151309090419,0.028738961498,14400,14400,200,6,10,0.144884535059,0.006417466702,88242,62,69,25739,0.048792697828,0.000407007277,72000,72000,500,1000,30,75020,70020,40000,66048,72060,12036,48036,72096,36024,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3,1.4,1.5,702228,0.474403157498,0.000149910618,0.050463860841,0.422387186847,684460,0.000071451858,0.068116359946
126,14400,14400,10,2,6,200,0.152801737649,158400,2200,22,22,158400,66,0.044172198872,0.001526600333,0.397174758943,0.000522513041,0.014386878865,15004,14004,8000,11008,12010,2006,8006,12016,6004,0.157804763405,0.02792711281,14400,14400,200,6,10,0.062427024096,0.00633449974,87860,65,74,25932,0.048794420727,0.000406359235,72000,72000,500,1000,30,75020,70020,40000,66048,72060,12036,48036,72096,36024,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3,1.4,1.5,702228,0.474814657767,0.00014995478,0.05059389999,0.42245758329,684460,0.000071346515,0.068014808967
132,14400,14400,10,2,6,200,0.152590274488,158400,2200,22,22,158400,66,0.044173707367,0.001527955589,0.397192904466,0.00052258557,0.014388608135,15004,14004,8000,11008,12010,2006,8006,12016,6004,0.14793808493,0.028079790913,14400,14400,200,6,10,0.062265485423,0.006174696288,87173,69,9,28542,0.048795090849,0.000406321569,72000,72000,500,1000,30,75020,70020,40000,66048,72060,12036,48036,72096,36024,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3,1.4,1.5,702228,0.474899389248,0.000149936837,0.050611866156,0.422346214182,684460,0.000071483995,0.068042861278
138,14400,14400,10,2,6,200,0.152403600577,158400,2200,22,22,158400,66,0.04417586633,0.001528722635,0.397199852384,0.000522584449,0.014388620348,15004,14004,8000,11008,12010,2006,8006,12016,6004,0.148110100641,0.027949509522,14400,14400,200,6,10,0.061283901823,0.005998117797,86906,72,86,27060,0.048796283325,0.000405872832,72000,72000,500,1000,30,75020,70020,40000,66048,72060,12036,48036,72096,36024,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3,1.4,1.5,702228,0.474849811037,0.000149901422,0.050552124364,0.422466470819,684460,0.000071216852,0.068099848566
144,14400,14400,10,2,6,200,0.152256607545,158400,2200,22,22,158400,66,0.044174024309,0.001530680267,0.397201603516,0.000522586003,0.014388622599,15004,14004,8000,11008,12010,2006,8006,12016,6004,0.148728774766,0.028260393241,14400,14400,200,6,10,0.061872789602,0.006274921844,87440,8,92,25481,0.048796812598,0.000406021082,72000,72000,500,1000,30,75020,70020,40000,66048,72060,12036,48036,72096,36024,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3,1.4,1.5,702228,0.474723054911,0.000149989451,0.050561901891,0.422357104696,684460,0.000071124805,0.068176996488
150,14400,14400,10,2,6,200,0.152097145081,158400,2200,22,22,158400,66,0.044167422389,0.00153026798,0.397185308369,0.000522439098,0.014385119183,15004,14004,8000,11008,12010,2006,8006,12016,6004,0.148110583492,0.027714681775,14400,14400,200,6,10,0.203615981856,0.00591009671,86333,79,86,25997,0.048798443757,0.000406221327,72000,72000,500,1000,30,75020,70020,40000,66048,72060,12036,48036,72096,36024,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3,1.4,1.5,702228,0.474395198716,0.000150001728,0.050488658569,0.42252505122,684460,0.000071578347,0.067976455592
156,14400,14400,10,2,6,200,0.151977767466,158400,2200,22,22,158400,66,0.044168743096,0.001528198932,0.397173292743,0.000522585082,0.014388609049,15004,14004,8000,11008,12010,2006,8006,12016,6004,0.148873949481,0.02797716212,14400,14400,200,6,10,0.063348141591,0.006382630278,85456,82,93,28316,0.048801034842,0.000406209021,72000,72000,500,1000,30,75020,70020,40000,66048,72060,12036,48036,72096,36024,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3,1.4,1.5,702228,0.474749249045,0.000149956929,0.050546922405,0.423111032183,684460,0.0000716586,0.068042428762
162,14400,14400,10,2,6,200,0.151821303438,158400,2200,22,22,158400,66,0.044166077114,0.001528356813,0.397191174577,0.000522585128,0.014388587294,15004,14004,8000,11008,12010,2006,8006,12016,6004,0.147596774656,0.028112508339,14400,14400,200,6,10,0.18807341016,0.005830042357,86639,85,100,26705,0.048801658516,0.000407119032,72000,72000,500,1000,30,75020,70020,40000,66048,72060,12036,48036,72096,36024,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3,1.4,1.5,702228,0.474323929466,0.000149971413,0.050479142697,0.422634268487,684460,0.000071581044,0.06810090255
168,14400,14400,10,2,6,200,0.151679052534,158400,2200,22,22,158400,66,0.044162492342,0.001526015341,0.397156640538,0.000522585041,0.014388619457,15004,14004,8000,11008,12010,2006,8006,12016,6004,0.147696027248,0.027764855342,14400,14400,200,6,10,0.060117947237,0.005827010577,86104,88,102,28606,0.048801260119,0.000407305593,72000,72000,500,1000,30,75020,70020,40000,66048,72060,12036,48036,72096,36024,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3,1.4,1.5,702228,0.474624617677,0.000149905726,0.050543205047,0.422327859836,684460,0.000071582408,0.068020754116
174,14400,14400,10,2,6,200,0.151551282171,158400,2200,22,22,158400,66,0.04416204269,0.001526883549,0.397118947914,0.000522585058,0.014388608762,15004,14004,8000,11008,12010,2006,8006,12016,6004,0.147845941631,0.027714727804,14400,14400,200,6,10,0.146326011523,0.006279502153,90913,91,106,27446,0.048804090928,0.000406914049,72000,72000,500,1000,30,75020,70020,40000,66048,72060,12036,48036,72096,36024,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3,1.4,1.5,702228,0.474799218402,0.000149951402,0.050571355406,0.423008127485,684460,0.000071177814,0.068118360253
