timesec,GESYerelEthenetFtpUploadResponseTimesec,GESYerelEthenetFtpTrafficSentbytes/sec,GESYerelEthenetEthernetDelaysec,INVERTERAKIM,INVERTERVOLTAJ,RUZGAR,METEOR,RADYANTISIMA,TurbinEthernetFtpUploadResponseTimesec,WCNV,WGEN,WMET,WNAC,WROT,WTOW,WTRF,WTRM,WYAW,TurbinEthernetEthernetDelaysec,TurbinZigBeeApplicationTrafficReceived,TurbinZigBeeApplicationEndtoendDelayseconds,GESYerelZigbee1EndtoendDelayseconds,GESYerelZigBeeApplicationTrafficReceivedbits/sec
114.0,0.008676747677,53080,0.001232545871,4.15836249209525,4.15836249209525,0.778151250383644,1,2.30102999566398,0.024373089091,4.176207055,4.146252102,3.903089987,4.041708421,4.079543007,3.302330929,3.903415586,4.07975992,3.778440684,0.000523177438,88089,59,66,27672
120.0,0.008690399736,53080,0.001238521627,4.15836249209525,4.15836249209525,0.778151250383644,1,2.30102999566398,0.023897639731,4.176207055,4.146252102,3.903089987,4.041708421,4.079543007,3.302330929,3.903415586,4.07975992,3.778440684,0.000523149202,88242,62,69,25739
126.0,0.008225052917,53080,0.001238518857,4.15836249209525,4.15836249209525,0.778151250383644,1,2.30102999566398,0.023465332418,4.176207055,4.146252102,3.903089987,4.041708421,4.079543007,3.302330929,3.903415586,4.07975992,3.778440684,0.000523120285,87860,65,74,25932
132.0,0.008036823542,53080,0.00123450172,4.15836249209525,4.15836249209525,0.778151250383644,1,2.30102999566398,0.023070692232,4.176207055,4.146252102,3.903089987,4.041708421,4.079543007,3.302330929,3.903415586,4.07975992,3.778440684,0.000523097037,87173,69,9,28542
138.0,0.007524246656,53080,0.001230497658,4.15836249209525,4.15836249209525,0.778151250383644,1,2.30102999566398,0.022708939237,4.176207055,4.146252102,3.903089987,4.041708421,4.079543007,3.302330929,3.903415586,4.07975992,3.778440684,0.000523075679,86906,72,86,27060
144.0,0.00808383708,53080,0.001230507116,4.15836249209525,4.15836249209525,0.778151250383644,1,2.30102999566398,0.022376126572,4.176207055,4.146252102,3.903089987,4.041708421,4.079543007,3.302330929,3.903415586,4.07975992,3.778440684,0.000523056092,87440,8,92,25481
150.0,0.007913875378,53080,0.001227254497,4.15836249209525,4.15836249209525,0.778151250383644,1,2.30102999566398,0.022068780134,4.176207055,4.146252102,3.903089987,4.041708421,4.079543007,3.302330929,3.903415586,4.07975992,3.778440684,0.000523032361,86333,79,86,25997
156.0,0.007983463317,53080,0.001224428049,4.15836249209525,4.15836249209525,0.778151250383644,1,2.30102999566398,0.021784329353,4.176207055,4.146252102,3.903089987,4.041708421,4.079543007,3.302330929,3.903415586,4.07975992,3.778440684,0.000523015796,85456,82,93,28316
162.0,0.008173533851,53080,0.001226663413,4.15836249209525,4.15836249209525,0.778151250383644,1,2.30102999566398,0.021520195708,4.176207055,4.146252102,3.903089987,4.041708421,4.079543007,3.302330929,3.903415586,4.07975992,3.778440684,0.000523000415,86639,85,100,26705
168.0,0.008243917673,53080,0.001229961678,4.15836249209525,4.15836249209525,0.778151250383644,1,2.30102999566398,0.021274279285,4.176207055,4.146252102,3.903089987,4.041708421,4.079543007,3.302330929,3.903415586,4.07975992,3.778440684,0.000522986091,86104,88,102,28606
174.0,0.007707770544,53080,0.001227053281,4.15836249209525,4.15836249209525,0.778151250383644,1,2.30102999566398,0.021044756934,4.176207055,4.146252102,3.903089987,4.041708421,4.079543007,3.302330929,3.903415586,4.07975992,3.778440684,0.000522972724,90913,91,106,27446
180.0,0.018369677481,53080,0.001224655949,4.15836249209525,4.15836249209525,0.778151250383644,1,2.30102999566398,0.020830042932,4.176207055,4.146252102,3.903089987,4.041708421,4.079543007,3.302330929,3.903415586,4.07975992,3.778440684,0.000522960201,84311,95,116,27446
186.0,0.008318489727,53080,0.001226692709,4.15836249209525,4.15836249209525,0.778151250383644,1,2.30102999566398,0.02062874869,4.176207055,4.146252102,3.903089987,4.041708421,4.079543007,3.302330929,3.903415586,4.07975992,3.778440684,0.000522948504,85494,10,12,26641
192.0,0.00890372521,53080,0.00123098505,4.15836249209525,4.15836249209525,0.778151250383644,1,2.30102999566398,0.020439653293,4.176207055,4.146252102,3.903089987,4.041708421,4.079543007,3.302330929,3.903415586,4.07975992,3.778440684,0.0005229375,84998,101,126,26512
198.0,0.007908709824,53080,0.00122885335,4.15836249209525,4.15836249209525,0.778151250383644,1,2.30102999566398,0.020261682473,4.176207055,4.146252102,3.903089987,4.041708421,4.079543007,3.302330929,3.903415586,4.07975992,3.778440684,0.000522927151,88165,104,130,28445
204.0,0.008088785369,53080,0.001230155695,4.15836249209525,4.15836249209525,0.778151250383644,1,2.30102999566398,0.020093880458,4.176207055,4.146252102,3.903089987,4.041708421,4.079543007,3.302330929,3.903415586,4.07975992,3.778440684,0.000522917376,85494,108,136,28380
